time,distance,velocity,p1_x,p1_y,p2_x,p2_y,total_intent
0.0,49.99999999999999,0.0,36.75213675213676,63.99999999999999,86.75213675213675,63.99999999999999,570.6
1.0000000000000007,50.0,7.105427357601002e-15,39.0,64.0,89.0,64.0,622.3784626091019
2.0000000000000013,50.000000000000014,1.4210854715202004e-14,39.0,64.0,89.00000000000001,64.00000000000001,644.238276575737
2.99999999999998,49.99999999999999,-2.1316282072803006e-14,39.00000000000001,64.0,89.0,64.0,660.7951395946247
3.9999999999999587,49.99999999999998,-1.4210854715202004e-14,39.00000000000001,64.0,88.99999999999999,63.999999999999986,674.6419183550386
4.999999999999938,49.99999999999989,-8.526512829121202e-14,39.000000000000064,64.0,88.99999999999996,64.00000000000003,686.7464741510294
5.9999999999999165,49.999999999996405,-3.488764832582092e-12,39.00000000000179,64.0,88.9999999999982,64.00000000000001,697.6057520200998
6.999999999999895,49.9999999999513,-4.510525286605116e-11,39.00000000002434,64.0,88.99999999997564,64.0,707.5139476846693
7.999999999999874,49.99999999959317,-3.581277496778057e-10,39.000000000203414,63.99999999999998,88.99999999979659,64.0,716.6625947923957
8.999999999999853,49.999999997624336,-1.968835761090304e-09,39.000000001187836,64.0,88.99999999881217,64.0,725.1848806282785
9.999999999999831,49.999999989442074,-8.182261979072791e-09,39.00000000527896,63.999999999999986,88.99999999472104,64.0,733.1778289602746
10.99999999999981,49.99999996209685,-2.734522297487274e-08,39.00000001895158,64.0,88.99999998104843,64.00000000000003,740.7146949546968
11.999999999999789,49.999999885222856,-7.687399516953519e-08,39.00000005738858,64.00000000000001,88.99999994261144,64.0,747.8523931477665
12.999999999999767,49.99999969722728,-1.8799557466309125e-07,39.00000015138636,64.0,88.99999984861364,64.0,754.6361718816835
13.999999999999746,49.99999928695006,-4.102772237501995e-07,39.00000035652498,64.0,88.99999964347504,64.0,761.1026867294263
14.999999999999725,49.99999847195876,-8.149912957833294e-07,39.00000076402061,64.0,88.99999923597937,64.0,767.2820993646184
15.999999999999703,49.99999697532235,-1.4966364147994682e-06,39.00000151233881,64.0,88.99999848766116,64.0,773.199554894938
16.999999999999858,49.999994402960446,-2.572361900377018e-06,39.00000279851978,64.0,88.99999720148023,64.0,778.8762475989042
18.000000000000014,49.99999022351795,-4.1794424987529055e-06,39.00000488824103,64.0,88.99999511175898,64.0,784.3302063259202
19.00000000000017,49.9999837522837,-6.471234250682301e-06,39.00000812385815,64.00000000000001,88.99999187614185,63.999999999999986,789.5768844265436
20.000000000000327,49.99997414010836,-9.612175340123486e-06,39.00001292994582,64.0,88.99998707005417,64.0,794.629610464851
21.000000000000483,49.99996036771046,-1.377239789945861e-05,39.00001981614477,64.0,88.99998018385523,64.0,799.4999379654146
22.00000000000064,49.999941245268985,-1.9122441472063656e-05,39.00002937736551,64.0,88.99997062263449,63.999999999999986,804.1979209284784
23.000000000000796,49.99991541683387,-2.5828435113339765e-05,39.00004229158306,64.0,88.99995770841693,64.0,808.732334281762
24.000000000000952,49.99988136884532,-3.404798854944602e-05,39.000059315577346,64.00000000000001,88.99994068442267,64.0,813.1108533212359
25.00000000000111,49.99983744193007,-4.392691525367809e-05,39.00008127903497,64.0,88.99991872096504,64.00000000000001,817.3402026412555
26.000000000001265,49.99978184511103,-5.559681903832825e-05,39.00010907744449,64.0,88.99989092255552,64.0,821.4262825222064
27.00000000000142,49.999712671605984,-6.91735050466491e-05,39.00014366419702,64.0,88.999856335803,64.00000000000001,825.3742788718702
28.000000000001577,49.999627915471066,-8.475613491754075e-05,39.000186042264474,63.999999999999986,88.99981395773554,64.0,829.1887613585585
29.000000000001734,49.99952548845487,-0.0001024270161948948,39.00023725577257,64.0,88.99976274422744,64.0,832.8737731638962
30.00000000000189,49.99940323654498,-0.00012225190989312296,39.00029838172752,64.0,88.9997016182725,64.0,836.4329147184965
31.000000000002046,49.99925895580879,-0.00014428073618688586,39.0003705220956,64.00000000000001,88.99962947790439,64.0,839.8694228151627
32.0000000000022,49.999090407241496,-0.00016854856729509038,39.00045479637926,64.0,88.99954520362076,64.0,843.1862456175038
33.000000000002004,49.99889533043241,-0.00019507680908503744,39.0005523347838,64.0,88.99944766521621,64.0,846.3861133287824
34.000000000001805,49.99867145594844,-0.0002238744839715423,39.00066427202579,64.0,88.99933572797423,64.00000000000001,849.4716037090161
35.000000000001606,49.99841651640093,-0.00025493954750999137,39.00079174179954,64.0,88.99920825820047,64.0,852.4452012805327
36.00000000000141,49.9981282562185,-0.0002882601824296671,39.00093587189075,64.0,88.99906412810925,64.0,855.3093489740847
37.00000000000121,49.99780444018659,-0.0003238160319085637,39.00109777990671,64.0,88.9989022200933,64.0,858.0664911325337
38.00000000000101,49.99744286084248,-0.0003615793441085202,39.00127856957876,64.0,88.99872143042124,64.0,860.7191071589955
39.00000000000081,49.99704134482969,-0.00040151601279347915,39.00147932758515,64.0,88.99852067241484,64.0,863.2697355916504
40.00000000000061,49.996597758322835,-0.0004435865068543876,39.001701120838575,64.0,88.99829887916141,64.0,865.7209889158646
41.00000000000041,49.996110011635245,-0.000487746687589663,39.001944994182374,64.0,88.99805500581762,64.0,868.0755599015739
42.00000000000021,49.99557606311725,-0.0005339485179973735,39.00221196844138,64.0,88.99778803155863,64.0,870.3362206194316
43.000000000000014,49.99499392244676,-0.0005821406704882293,39.00250303877662,64.0,88.99749696122338,64.0,872.5058155130182
43.999999999999815,49.99436165340462,-0.0006322690421427524,39.0028191732977,64.0,88.99718082670232,64.0,874.587249985198
44.999999999999616,49.9936773762183,-0.0006842771863162511,39.00316131189085,64.00000000000001,88.99683868810915,64.0,876.5834759145766
45.99999999999942,49.99293926954738,-0.000738106670922889,39.00353036522631,64.0,88.99646963477369,63.999999999999986,878.4974753846715
46.99999999999922,49.992145572173584,-0.0007936973737940889,39.0039272139132,64.0,88.99607278608678,64.0,880.332243718548
47.99999999999902,49.99129458444982,-0.0008509877237656838,39.004352707775084,64.0,88.9956472922249,64.0,882.090772696714
48.99999999999882,49.990384669551716,-0.0009099148981022154,39.004807665224135,64.0,88.99519233477585,64.0,883.7760346207255
49.99999999999862,49.98941425456791,-0.0009704149838043463,39.00529287271603,63.999999999999986,88.99470712728395,64.0,885.3909676863484
